sol_range,n_samples,Al2O3_RMSE_mean,Al2O3_RMSE_std,CaO_RMSE_mean,CaO_RMSE_std,FeOT_RMSE_mean,FeOT_RMSE_std,K2O_RMSE_mean,K2O_RMSE_std,MgO_RMSE_mean,MgO_RMSE_std,MnO_RMSE_mean,MnO_RMSE_std,Na2O_RMSE_mean,Na2O_RMSE_std,SiO2_RMSE_mean,SiO2_RMSE_std,TiO2_RMSE_mean,TiO2_RMSE_std,min_sol
13-113,6,5.392395001107167,0.21776111029522918,2.058842884201719,3.301626956537732,1.0389007056350215,1.862386206128986,0.6177181630094024,0.5185393384645788,0.030100908368811744,2.8344497439000937,0.15628420755860706,1.4670386322144058,2.3384240286781957,0.6019266748787586,1.7192673412484831,0.6241127403022106,1.0651956952443924,0.03381679747567314,13
113-213,6,5.736653064670958,0.25906130901299446,1.8034494813432171,2.385589995839415,1.048788582334046,1.9906313995001677,0.7058387519950294,0.6202659414460746,0.028432232855808866,2.783115868720089,0.19817000901658965,1.4491850451977464,2.3633524840998814,0.6589671297914316,2.129506349115245,0.8135334375950296,1.3329581867379603,0.03275213402118113,113
213-313,5,7.468944563798493,0.17674303608679373,4.08843485071762,3.7155674542039323,1.4553364891430343,3.2007450672761117,0.5057793201521283,0.5525715559802358,0.28686622798610806,2.470204218001253,0.08400817813479776,4.90612378454692,4.140793481215362,1.0427222205415176,3.056581222196549,0.6592033822221057,1.124073326968475,0.6045441146798535,213
313-413,5,5.536820843429,0.15543950587164354,2.4537332962647858,3.154081803123455,1.1234224279662355,2.557137795155618,0.41842806097155255,0.08369129773864645,0.037556348531079545,2.520415261516487,0.10961047570692047,1.7504160337769132,3.7578607276413223,1.0891613595098995,1.674015173504657,0.43008240696531547,0.049028909739039346,0.04318854123377571,313
413-513,1,6.079054202752267,0.0811377429642539,0.8588364221433555,3.389400282744229,0.9165696918401787,0.8661601083710412,0.8741853350405736,0.12864680330268607,0.10255394292506873,,,,,,,,,,413
513-613,1,3.530226621620768,0.5550225220655464,2.015564437074639,0.5162,0.9726767191621274,0.05099019513592784,1.5505160431288678,2.845742433882589,0.029977696909013803,,,,,,,,,,513
613-713,2,6.309999999999999,0.33499999999999996,1.4450000000000012,1.6421499999999993,1.44,0.40499999999999997,1.2999999999999998,1.3150000000000002,0.05667204648160103,0.05656854249491757,0.28991378028648446,1.9869700551341989,1.5923337605539853,0.21213203435596437,0.3747665940288702,0.4242640687119288,1.8031222920256964,0.045416432317785416,613
713-813,2,6.713181029851353,0.3060492240681145,1.7094623466625134,1.745515342969138,1.0716438795998369,0.36383862493908414,1.036305512227384,1.2164852927038918,0.05924657471018162,0.5136155380124193,0.24600354650819584,0.9058570365605115,1.7385144304602875,0.3088021868970832,0.4579769754091068,0.2314989646937504,1.5040369228414088,0.034915229431625505,713
913-1013,4,5.147487028722473,0.21009205829192126,1.4647630508173584,2.150059077230038,0.5302749349223324,1.8823867817330224,0.3783531179399139,0.0923416316637487,0.05149360628589514,2.379370305811711,0.23751863658153635,0.8334420235467099,0.7672764533688516,0.43371802420945693,1.5560934007772145,0.38594933716770935,0.040741429555618436,0.037747758434128295,913
1013-1113,4,3.665000000000001,0.2025,2.205,1.2759,0.5500000000000002,0.5599999999999999,0.5375000000000001,0.7025000000000001,0.04148482892188509,2.720496278255128,0.20548722588034515,3.5096676005950567,1.529367854158486,0.5064911976859353,0.42134704619035074,0.5671199167724585,1.2451874022277398,0.058258683844145516,1013
1113-1213,3,4.82204007511621,0.0742610317824583,0.7763826187833395,2.098667262089744,0.6235872095114249,0.9211403387679686,0.31504952303741407,0.08207204620371704,0.04088568850551644,2.3687009669774532,0.05725337315745756,0.29882276331746505,0.8895746368625284,0.5024524735740004,0.5347435969150534,0.48403584273362105,0.0636102888525308,0.05060316196469715,1113
1213-1313,2,4.424554205240271,0.03802775637731998,0.7149999999999994,1.9668641647419425,0.5057433897282286,1.012332416321053,0.4676707331696009,0.11356969484781083,0.050032700734280476,3.2591318122747435,0.002789173679497977,0.2050609665440988,1.3458563686025182,0.4748128552307761,0.7462346532634082,0.6331020223259566,0.047474717738500274,0.062065307985898585,1213
