wave,cl5_398645626ccs_f0030004ccam02013p3,cl5_398646038ccs_f0030004ccam03013p3
240.811,826000000000.0,366000000000.0
240.86501,165000000000.0,85200000000.0
240.918,119000000000.0,58200000000.0
240.972,300000000000.0,148000000000.0
241.02699,1170000000000.0,530000000000.0
241.07899,2760000000000.0,1180000000000.0
241.133,3570000000000.0,1510000000000.0
241.188,2610000000000.0,1110000000000.0
241.24001,1020000000000.0,449000000000.0
241.29401,847000000000.0,357000000000.0
241.34801,1060000000000.0,446000000000.0
241.401,1400000000000.0,559000000000.0
241.45599,981000000000.0,379000000000.0
241.508,285000000000.0,110000000000.0
241.562,61000000000.0,37300000000.0
241.616,32800000000.0,25500000000.0
241.66901,79500000000.0,39500000000.0
241.72301,144000000000.0,64300000000.0
241.77699,236000000000.0,107000000000.0
241.83,397000000000.0,170000000000.0
241.883,368000000000.0,160000000000.0
241.938,160000000000.0,80300000000.0
241.991,14400000000.0,19700000000.0
242.045,-18300000000.0,4400000000.0
242.099,-14200000000.0,3060000000.0
242.151,-17500000000.0,-64921072.0
242.20599,-12600000000.0,8450000000.0
242.259,83700000000.0,49700000000.0
242.312,289000000000.0,130000000000.0
242.366,516000000000.0,229000000000.0
242.42,820000000000.0,369000000000.0
242.47301,1110000000000.0,496000000000.0
242.52699,880000000000.0,392000000000.0
242.58,348000000000.0,172000000000.0
242.634,140000000000.0,82100000000.0
242.687,89800000000.0,57300000000.0
242.74001,85400000000.0,56500000000.0
242.79401,203000000000.0,106000000000.0
242.84801,492000000000.0,227000000000.0
242.89999,736000000000.0,329000000000.0
242.955,827000000000.0,371000000000.0
243.008,802000000000.0,365000000000.0
243.061,857000000000.0,389000000000.0
243.11501,644000000000.0,301000000000.0
243.16901,349000000000.0,178000000000.0
243.222,382000000000.0,192000000000.0
243.276,745000000000.0,341000000000.0
243.32899,974000000000.0,440000000000.0
243.383,891000000000.0,383000000000.0
243.436,759000000000.0,309000000000.0
243.489,931000000000.0,410000000000.0
243.543,1380000000000.0,566000000000.0
243.59599,1080000000000.0,442000000000.0
243.64999,508000000000.0,221000000000.0
243.703,274000000000.0,132000000000.0
243.757,314000000000.0,148000000000.0
243.81,290000000000.0,133000000000.0
243.86301,234000000000.0,116000000000.0
243.91701,386000000000.0,188000000000.0
243.97099,784000000000.0,356000000000.0
244.02299,842000000000.0,374000000000.0
244.077,522000000000.0,247000000000.0
244.131,276000000000.0,140000000000.0
244.18401,163000000000.0,87400000000.0
244.237,102000000000.0,60200000000.0
